LSOA code,Local authority area,Thousands of households 2012-based interim projections for 2014,Homelessness:White,Homelessness: Black or Black British,Homelessness: Asian or Asian British,Homelessness: Mixed,Homelessness: Other ethnic origin,Homelessness: Ethnic Group not Stated,Homelessness total,Homelessness Number per 1000 households
E07000223,Adur,28,6,0,0,0,0,0,7,0.25
E07000026,Allerdale,43,29,0,0,0,0,0,30,0.7
E07000032,Amber Valley,54,116,0,0,0,0,0,117,2.18
E07000224,Arun,69,184,0,0,0,0,0,191,2.78
E07000170,Ashfield,52,83,0,0,0,0,0,87,1.67
E07000105,Ashford,50,126,8,0,6,5,0,152,3.03
E07000004,Aylesbury Vale,73,114,11,16,9,0,7,160,2.2
E07000200,Babergh,38,82,0,0,0,0,0,86,2.25
E09000002,Barking and Dagenham,74,327,276,71,74,12,0,764,10.35
E09000003,Barnet,145,246,175,110,8,89,49,677,4.68
E08000016,Barnsley,103,0,0,0,0,0,0,13,0.13
E07000027,Barrow-in-Furness,31,16,0,0,0,0,0,17,0.54
E07000066,Basildon,75,315,25,0,7,0,0,351,4.69
E07000084,Basingstoke and Deane,73,50,0,0,0,0,0,54,0.74
E07000171,Bassetlaw,49,87,0,0,0,0,0,91,1.87
E06000022,Bath and North East Somerset,75,41,0,0,0,0,0,48,0.64
E06000055,Bedford,66,105,18,22,6,7,6,164,2.47
E09000004,Bexley,95,329,117,18,17,13,0,498,5.24
E08000025,Birmingham,423,1041,641,640,192,251,375,3140,7.43
E07000129,Blaby,40,5,0,0,0,0,0,6,0.15
E06000008,Blackburn with Darwen,58,18,0,8,0,5,0,36,0.62
E06000009,Blackpool,64,49,0,0,0,0,0,49,0.76
E07000033,Bolsover,33,40,0,0,0,0,0,40,1.19
E08000001,Bolton,119,224,16,36,0,0,0,277,2.33
E07000136,Boston,28,12,0,0,0,0,0,12,0.43
E06000028,Bournemouth,85,113,0,0,0,0,0,122,1.43
E06000036,Bracknell Forest,48,92,0,0,0,0,0,108,2.25
E08000032,Bradford,204,196,14,77,0,9,6,304,1.49
E07000067,Braintree,63,130,0,0,5,0,0,139,2.2
E07000143,Breckland,56,29,0,0,0,0,0,31,0.55
E09000005,Brent,116,172,315,124,35,84,117,847,7.33
E07000068,Brentwood,31,36,0,0,0,0,21,62,1.97
E06000043,Brighton and Hove,125,295,16,12,15,10,72,420,3.37
E06000023,Bristol,188,557,170,62,36,17,30,872,4.65
E07000144,Broadland,55,98,0,0,0,0,0,101,1.85
E09000006,Bromley,135,271,99,14,29,20,18,451,3.33
E07000234,Bromsgrove,39,63,0,0,0,0,0,68,1.74
E07000095,Broxbourne,39,42,0,0,0,0,5,51,1.31
E07000172,Broxtowe,48,9,0,0,0,0,0,10,0.21
E07000117,Burnley,38,27,0,0,0,0,0,29,0.77
E08000002,Bury,80,128,7,17,6,8,0,167,2.09
E08000033,Calderdale,91,53,0,8,0,6,0,74,0.81
E07000008,Cambridge,47,73,0,7,0,6,53,143,3.02
E09000007,Camden,102,29,17,10,0,0,0,64,0.63
E07000192,Cannock Chase,42,34,0,0,0,0,0,34,0.82
E07000106,Canterbury,62,36,0,0,0,0,61,101,1.62
E07000028,Carlisle,49,15,0,0,0,0,0,16,0.33
E07000069,Castle Point,37,46,0,0,0,0,0,49,1.32
E06000056,Central Bedfordshire,110,164,7,0,0,0,0,177,1.61
E07000130,Charnwood,69,60,0,6,0,0,0,72,1.04
E07000070,Chelmsford,72,213,17,0,5,6,37,282,3.94
E07000078,Cheltenham,52,0,0,0,0,0,0,0,0
E07000177,Cherwell,59,66,6,0,0,0,0,80,1.37
E06000049,Cheshire East,163,95,0,0,0,0,0,104,0.64
E06000050,Cheshire West and Chester,143,83,0,0,0,0,0,90,0.63
E07000034,Chesterfield,47,112,0,0,0,0,0,113,2.39
E07000225,Chichester,51,30,0,0,0,0,7,37,0.72
E07000005,Chiltern,37,42,0,8,0,0,9,59,1.58
E07000118,Chorley,47,0,0,0,0,0,0,0,0
E07000048,Christchurch,22,12,0,0,0,0,0,13,0.59
E09000001,City of London,5,21,0,0,0,0,0,27,5.72
E07000071,Colchester,74,214,21,0,5,10,0,253,3.4
E07000029,Copeland,31,18,0,0,0,0,0,18,0.59
E07000150,Corby,27,24,0,0,0,0,0,26,0.98
E06000052,Cornwall,237,273,0,0,0,0,9,292,1.23
E07000079,Cotswold,37,29,0,0,0,0,0,29,0.78
