CODE,GeographicArea,CODE,Region,Sex,ALL AGES,Age0to15,Age16to20,Age21to25,Age26to30,Age31to40,Age41to50,Age51to60,Age61to90
E06000047,County Durham,E06000047,NORTH EAST,M,"255,299","45,429","17,068","18,518","14,585","28,377","35,722","35,521","60,079"
E06000005,Darlington,E06000005,NORTH EAST,M,"51,229","10,264","2,920","2,786","3,071","6,201","7,334","6,960","11,693"
E06000001,Hartlepool,E06000001,NORTH EAST,M,"45,104","9,021","2,846","2,895","2,911","4,929","6,195","6,397","9,910"
E06000002,Middlesbrough,E06000002,NORTH EAST,M,"68,662","14,526","5,034","6,316","5,112","7,819","8,429","8,630","12,796"
E06000057,Northumberland,E06000057,NORTH EAST,M,"153,914","26,891","8,611","8,229","8,013","15,732","20,859","23,438","42,141"
E06000003,Redcar and Cleveland,E06000003,NORTH EAST,M,"65,733","12,528","4,041","4,040","3,836","6,683","8,699","9,381","16,525"
E06000004,Stockton-on-Tees,E06000004,NORTH EAST,M,"95,496","19,542","6,105","6,574","6,307","11,334","13,221","12,758","19,655"
E08000037,Gateshead,E08000037,NORTH EAST,M,"98,806","17,982","6,563","6,025","6,863","12,930","13,382","13,431","21,630"
E08000021,Newcastle upon Tyne,E08000021,NORTH EAST,M,"148,097","26,144","13,390","19,984","12,974","18,255","16,990","16,205","24,155"
E08000022,North Tyneside,E08000022,NORTH EAST,M,"97,896","18,611","5,383","5,315","5,785","12,830","14,193","13,835","21,944"
E08000023,South Tyneside,E08000023,NORTH EAST,M,"71,985","13,184","4,389","4,676","4,747","7,986","9,888","10,761","16,354"
E08000024,Sunderland,E08000024,NORTH EAST,M,"134,956","24,823","8,453","10,261","9,254","15,277","18,365","19,252","29,271"
E06000008,Blackburn with Darwen,E06000008,NORTH WEST,M,"73,180","17,353","5,192","4,634","4,805","9,759","10,234","8,766","12,437"
E06000009,Blackpool,E06000009,NORTH WEST,M,"68,795","12,883","4,044","4,320","4,214","7,423","10,014","9,922","15,975"
E06000049,Cheshire East,E06000049,NORTH WEST,M,"183,927","34,000","10,458","9,886","9,195","20,024","27,245","26,494","46,625"
E06000050,Cheshire West and Chester,E06000050,NORTH WEST,M,"162,790","30,033","9,866","10,097","9,100","18,080","23,394","22,634","39,586"
E06000006,Halton,E06000006,NORTH WEST,M,"61,772","12,848","3,713","3,813","3,919","7,483","8,691","8,278","13,027"
E06000007,Warrington,E06000007,NORTH WEST,M,"103,097","20,381","5,890","6,302","6,444","13,107","15,783","14,042","21,148"
E07000026,Allerdale,E07000026,NORTH WEST,M,"47,591","8,077","2,723","2,652","2,480","4,794","6,827","6,963","13,075"
E07000027,Barrow-in-Furness,E07000027,NORTH WEST,M,"33,401","6,032","1,992","2,058","2,051","3,546","4,733","4,744","8,245"
E07000028,Carlisle,E07000028,NORTH WEST,M,"52,827","9,628","2,861","3,305","3,052","6,124","7,497","7,621","12,739"
E07000029,Copeland,E07000029,NORTH WEST,M,"35,046","6,054","1,915","2,099","2,017","3,637","4,976","5,394","8,954"
E07000030,Eden,E07000030,NORTH WEST,M,"26,005","4,229","1,398","1,405","1,274","2,318","3,659","3,938","7,784"
E07000031,South Lakeland,E07000031,NORTH WEST,M,"50,596","7,948","2,867","2,403","2,224","4,669","6,902","7,647","15,936"
E08000001,Bolton,E08000001,NORTH WEST,M,"139,572","30,502","9,260","9,177","9,196","17,101","19,683","17,072","27,581"
